NUMERO;DURATA;CLASSE;AULA;GIORNO;O.INIZIO
1;1h00;1B;AULA 03;lunedì;08h00
2;1h00;1C;AULA 04;lunedì;08h00
3;1h00;1D;AULA 10A;lunedì;08h00
4;1h00;1E;AULA 11;lunedì;08h00
5;1h00;1A;AULA 02;lunedì;08h00
6;1h00;1AS;AULA 30;lunedì;08h00
7;1h00;1LS;AULA 31;lunedì;08h00
8;1h00;2AS;AULA 24;lunedì;08h00
9;1h00;2BS;LAB. MECCANICA;lunedì;08h00
10;1h00;2BS;LAB. MECCANICA;lunedì;08h55
11;1h00;2A;AULA 05;lunedì;08h00
12;1h00;2A;AULA 05;lunedì;08h55
13;1h00;2B;AULA 06;lunedì;08h00
14;1h00;2C;AULA 07;lunedì;08h00
15;1h00;2E;AULA 09;lunedì;08h00
16;1h00;2F;AULA 09A;lunedì;08h00
17;1h00;3AU;AULA 21;lunedì;08h00
18;1h00;3BM;LAB. SISTEMI-AUTOMAZ;lunedì;08h00
19;1h00;3BS;AULA 25;lunedì;08h00
20;1h00;3BS;AULA 25;lunedì;08h55
21;1h00;4IA;AULA 18;lunedì;08h00
22;1h00;4IB;AULA DISEGNO 1;lunedì;08h00
23;1h00;4AM;AULA 20;lunedì;08h00
24;1h00;4BM;AULA 13;lunedì;08h00
25;1h00;4AS;AULA 19;lunedì;08h00
26;1h00;4BS;LAB. FISICA;lunedì;08h00
27;1h00;4CS;AULA 28;lunedì;08h00
28;1h00;4CS;AULA 28;lunedì;08h55
29;1h00;4LS;AULA 22;lunedì;08h00
30;1h00;5IA;BIBLIOTECA;lunedì;08h00
31;1h00;5IB;AULA 01;lunedì;08h00
32;1h00;5IB;AULA 01;lunedì;08h55
33;1h00;5AS;AULA 17;lunedì;08h00
34;1h00;5BS;AULA 27;lunedì;08h00
35;1h00;5CS;AULA DISEGNO 2;lunedì;08h00
36;1h00;3AM;AULA 26;lunedì;08h00
37;1h00;5AM;LAB. TECNOLOGIA;lunedì;08h00
38;1h00;5AM;LAB. TECNOLOGIA;lunedì;08h55
39;1h00;5BM;LAB. CAD1;lunedì;08h00
40;1h00;2D;LAB. CAD2;lunedì;08h00
41;1h00;5AU;AULA 16;lunedì;08h00
42;1h00;5AU;AULA 16;lunedì;08h55
43;1h00;4AU;LAB. ROBOTICA;lunedì;08h00
44;1h00;4AU;LAB. ROBOTICA;lunedì;08h55
45;1h00;3LS;AULA 23;lunedì;08h00
46;1h00;4AT;AULA 29;lunedì;08h00
47;1h00;4IC;AULA 14;lunedì;08h00
48;1h00;3IB;LAB. ELETTRONICA2;lunedì;08h00
49;1h00;3IA;LAB. INF2;lunedì;08h00
50;1h00;3AT;LAB. AUTOMAZ-IMPIANTI;lunedì;08h00
51;1h00;3AT;LAB. AUTOMAZ-IMPIANTI;lunedì;08h55
52;1h00;2LS;PAL COM1;lunedì;08h00
53;1h00;2LS;PAL COM1;lunedì;08h55
54;1h00;3AS;PAL.COM2;lunedì;08h00
55;1h00;3AS;PAL.COM2;lunedì;08h55
56;1h00;5LS;PALESTRA1;lunedì;08h00
57;1h00;5LS;PALESTRA1;lunedì;08h55
58;1h00;5DS;PALESTRA2;lunedì;08h00
59;1h00;5DS;PALESTRA2;lunedì;08h55
60;1h00;1A;AULA 02;lunedì;08h55
61;1h00;1E;AULA 11;lunedì;08h55
62;1h00;1B;AULA 03;lunedì;08h55
63;1h00;1D;AULA 10A;lunedì;08h55
64;1h00;1AS;AULA 30;lunedì;08h55
65;1h00;1LS;AULA 31;lunedì;08h55
66;1h00;2AS;AULA 24;lunedì;08h55
67;1h00;2C;AULA 07;lunedì;08h55
68;1h00;2C;AULA 07;lunedì;10h00
69;1h00;2D;AULA 08;lunedì;08h55
70;1h00;2E;AULA 09;lunedì;08h55
71;1h00;2F;AULA 09A;lunedì;08h55
72;1h00;3AM;AULA 26;lunedì;08h55
73;1h00;3BM;LAB. SISTEMI-AUTOMAZ;lunedì;08h55
74;1h00;3LS;AULA 23;lunedì;08h55
75;1h00;4IA;AULA 18;lunedì;08h55
76;1h00;4IB;AULA DISEGNO 1;lunedì;08h55
77;1h00;4AM;AULA 20;lunedì;08h55
78;1h00;4BM;AULA 13;lunedì;08h55
79;1h00;4AS;AULA 19;lunedì;08h55
80;1h00;4BS;AULA 17;lunedì;08h55
81;1h00;4BS;AULA 17;lunedì;10h00
82;1h00;4LS;AULA 22;lunedì;08h55
83;1h00;5IA;BIBLIOTECA;lunedì;08h55
84;1h00;5BS;AULA 27;lunedì;08h55
85;1h00;5CS;AULA DISEGNO 2;lunedì;08h55
86;1h00;3AU;AULA 21;lunedì;08h55
87;1h00;4AT;AULA 29;lunedì;08h55
88;1h00;4IC;AULA 14;lunedì;08h55
89;1h00;1C;LAB. CAD2;lunedì;08h55
90;1h00;5AS;LAB. BIOLOGIA ;lunedì;08h55
91;1h00;2B;AULA 06;lunedì;08h55
92;1h00;3IA;LAB. INF2;lunedì;08h55
93;1h00;3IB;LAB. ELETTRONICA2;lunedì;08h55
94;1h00;1E;AULA 11;lunedì;10h00
95;1h00;1D;AULA 10A;lunedì;10h00
96;1h00;1B;AULA 03;lunedì;10h00
97;1h00;1C;AULA 04;lunedì;10h00
98;1h00;1A;AULA 02;lunedì;10h00
99;1h00;1LS;AULA 31;lunedì;10h00
100;1h00;2AS;AULA 24;lunedì;10h00
101;1h00;2BS;LAB. MECCANICA;lunedì;10h00
102;1h00;2B;AULA 06;lunedì;10h00
103;1h00;2D;AULA 08;lunedì;10h00
104;1h00;2F;AULA 09A;lunedì;10h00
105;1h00;2F;AULA 09A;lunedì;10h55
106;1h00;2LS;BIBLIOTECA;lunedì;10h00
107;1h00;3IA;AULA 01;lunedì;10h00
108;1h00;3AU;AULA 21;lunedì;10h00
109;1h00;3AS;AULA 13;lunedì;10h00
110;1h00;3AS;AULA 13;lunedì;10h55
111;1h00;3BS;AULA 25;lunedì;10h00
112;1h00;3LS;AULA 23;lunedì;10h00
113;1h00;4IA;AULA 18;lunedì;10h00
114;1h00;4IB;AULA DISEGNO 1;lunedì;10h00
115;1h00;4AM;AULA 14;lunedì;10h00
116;1h00;4AM;AULA 14;lunedì;10h55
117;1h00;4BM;AULA 20;lunedì;10h00
118;1h00;4AS;AULA 19;lunedì;10h00
119;1h00;4LS;AULA 22;lunedì;10h00
120;1h00;5BM;AULA 05;lunedì;10h00
121;1h00;5AS;LAB. BIOLOGIA ;lunedì;10h00
122;1h00;5BS;AULA 27;lunedì;10h00
123;1h00;5CS;AULA DISEGNO 2;lunedì;10h00
124;1h00;5LS;AULA 26;lunedì;10h00
125;1h00;3AM;LAB. CAD2;lunedì;10h00
126;1h00;3AM;LAB. CAD2;lunedì;10h55
127;1h00;5AM;LAB. SISTEMI-AUTOMAZ;lunedì;10h00
128;1h00;5AM;LAB. SISTEMI-AUTOMAZ;lunedì;10h55
129;1h00;2E;LAB. CAD1;lunedì;10h00
130;1h00;4CS;LAB. FISICA;lunedì;10h00
131;1h00;5DS;LAB. CHIMICA ;lunedì;10h00
132;1h00;3IB;AULA 29;lunedì;10h00
133;1h00;3AT;LAB. ROBOTICA;lunedì;10h00
134;1h00;5IA;LAB. INF2;lunedì;10h00
135;1h00;5IA;LAB. INF2;lunedì;10h55
136;1h00;4AU;LAB. ELETTR-MISURE;lunedì;10h00
137;1h00;5AU;LAB. AUTOMAZ-IMPIANTI;lunedì;10h00
138;1h00;5AU;LAB. AUTOMAZ-IMPIANTI;lunedì;10h55
139;1h00;3BM;LAB. TECNOLOGIA;lunedì;10h00
140;1h00;3BM;LAB. TECNOLOGIA;lunedì;10h55
141;1h00;5IB;PAL COM1;lunedì;10h00
142;1h00;5IB;PAL COM1;lunedì;10h55
143;1h00;4AT;PAL.COM2;lunedì;10h00
144;1h00;4AT;PAL.COM2;lunedì;10h55
145;1h00;4IC;PALESTRA1;lunedì;10h00
146;1h00;4IC;PALESTRA1;lunedì;10h55
147;1h00;2A;PALESTRA2;lunedì;10h00
148;1h00;2A;PALESTRA2;lunedì;10h55
149;1h00;1AS;AULA 30;lunedì;10h00
150;1h00;1E;AULA 11;lunedì;10h55
151;1h00;1C;AULA 04;lunedì;10h55
152;1h00;1D;AULA 10A;lunedì;10h55
153;1h00;2AS;AULA 24;lunedì;10h55
154;1h00;2BS;LAB. MECCANICA;lunedì;10h55
155;1h00;2B;AULA 06;lunedì;10h55
156;1h00;2C;AULA 07;lunedì;10h55
157;1h00;2D;AULA 08;lunedì;10h55
158;1h00;2E;AULA 09;lunedì;10h55
159;1h00;2LS;BIBLIOTECA;lunedì;10h55
160;1h00;3IA;AULA 01;lunedì;10h55
161;1h00;3AU;AULA 21;lunedì;10h55
162;1h00;3BS;AULA 25;lunedì;10h55
163;1h00;3LS;AULA 23;lunedì;10h55
164;1h00;4IA;AULA 18;lunedì;10h55
165;1h00;4IB;AULA DISEGNO 1;lunedì;10h55
166;1h00;4BM;AULA 20;lunedì;10h55
167;1h00;4AS;AULA 19;lunedì;10h55
168;1h00;4BS;AULA 17;lunedì;10h55
169;1h00;4CS;AULA 28;lunedì;10h55
170;1h00;4LS;AULA 22;lunedì;10h55
171;1h00;5BM;AULA 05;lunedì;10h55
172;1h00;5AS;AULA 12;lunedì;10h55
173;1h00;5BS;LAB. BIOLOGIA ;lunedì;10h55
174;1h00;5CS;AULA DISEGNO 2;lunedì;10h55
175;1h00;5LS;AULA 26;lunedì;10h55
176;1h00;1AS;AULA 30;lunedì;10h55
177;1h00;5DS;AULA 29;lunedì;10h55
178;1h00;3AT;LAB. ROBOTICA;lunedì;10h55
179;1h00;1A;AULA 02;lunedì;10h55
180;1h00;1A;AULA 02;lunedì;11h55
181;1h00;3IB;LAB. INF1;lunedì;10h55
182;1h00;1B;LAB. CAD1;lunedì;10h55
183;1h00;1LS;AULA 31;lunedì;10h55
184;1h00;4AU;LAB. ELETTR-MISURE;lunedì;10h55
185;1h00;1D;AULA 10A;lunedì;11h55
186;1h00;1C;AULA 04;lunedì;11h55
187;1h00;1E;AULA 11;lunedì;11h55
188;1h00;1AS;AULA 30;lunedì;11h55
189;1h00;1LS;AULA 31;lunedì;11h55
190;1h00;2AS;AULA 24;lunedì;11h55
191;1h00;2A;AULA 05;lunedì;11h55
192;1h00;2B;AULA 06;lunedì;11h55
193;1h00;2C;AULA 07;lunedì;11h55
194;1h00;2E;AULA 09;lunedì;11h55
195;1h00;2F;AULA 09A;lunedì;11h55
196;1h00;2LS;BIBLIOTECA;lunedì;11h55
197;1h00;3IA;AULA 03;lunedì;11h55
198;1h00;3AU;AULA 21;lunedì;11h55
199;1h00;3AM;AULA DISEGNO 2;lunedì;11h55
200;1h00;3AS;AULA 13;lunedì;11h55
201;1h00;3BS;AULA 25;lunedì;11h55
202;1h00;3BS;AULA 25;lunedì;13h00
203;1h00;3LS;AULA 23;lunedì;11h55
204;1h00;4IA;AULA 18;lunedì;11h55
205;1h00;4AS;AULA 19;lunedì;11h55
206;1h00;4BS;AULA 17;lunedì;11h55
207;1h00;4LS;AULA 22;lunedì;11h55
208;1h00;4LS;AULA 22;lunedì;13h00
209;1h00;5IB;AULA 01;lunedì;11h55
210;1h00;5AM;AULA 15;lunedì;11h55
211;1h00;5AS;AULA 12;lunedì;11h55
212;1h00;5BS;AULA 27;lunedì;11h55
213;1h00;5BS;AULA 27;lunedì;13h00
214;1h00;5LS;AULA 26;lunedì;11h55
215;1h00;1B;LAB. CHIMICA ;lunedì;11h55
216;1h00;2D;LAB. FISICA;lunedì;11h55
217;1h00;3AT, 3IB;AULA 29;lunedì;11h55
218;1h00;4AU;AULA 20;lunedì;11h55
219;1h00;5AU;AULA 16;lunedì;11h55
220;1h00;5BM;AULA 08;lunedì;11h55
221;1h00;2BS;LAB. MECCANICA;lunedì;11h55
222;1h00;4IC;AULA 14;lunedì;11h55
223;1h00;4CS;AULA 28;lunedì;11h55
224;1h00;5DS;LAB. CAD1;lunedì;11h55
225;1h00;3BM;LAB. CAD2;lunedì;11h55
226;1h00;4IB;LAB. INF2;lunedì;11h55
227;1h00;5IA;LAB. INF1;lunedì;11h55
228;1h00;5IA;LAB. INF1;lunedì;13h00
229;1h00;4AT;LAB. AUTOMAZ-IMPIANTI;lunedì;11h55
230;1h00;4AM;LAB. OMS;lunedì;11h55
231;1h00;4AM;LAB. OMS;lunedì;13h00
232;1h00;4BM;LAB. SISTEMI-AUTOMAZ;lunedì;11h55
233;1h00;5CS;PALESTRA1;lunedì;11h55
234;1h00;;;lunedì;11h55
235;1h00;;;lunedì;11h55
236;1h00;1E;AULA 11;lunedì;13h00
237;1h00;1D;AULA 10A;lunedì;13h00
238;1h00;1D;AULA 10A;lunedì;13h50
239;1h00;1C;AULA 04;lunedì;13h00
240;1h00;1A;AULA 02;lunedì;13h00
241;1h00;1B;AULA 03;lunedì;13h00
242;1h00;1AS;AULA 30;lunedì;13h00
243;1h00;1LS;AULA 31;lunedì;13h00
244;1h00;2AS;AULA 24;lunedì;13h00
245;1h00;2C;AULA 07;lunedì;13h00
246;1h00;2E;AULA 09;lunedì;13h00
247;1h00;2F;AULA 09A;lunedì;13h00
248;1h00;3AU;AULA 21;lunedì;13h00
249;1h00;3AM;AULA 05;lunedì;13h00
250;1h00;3BM;LAB. TECNOLOGIA;lunedì;13h00
251;1h00;3AS;AULA 13;lunedì;13h00
252;1h00;3LS;AULA 23;lunedì;13h00
253;1h00;4IB;AULA DISEGNO 1;lunedì;13h00
254;1h00;4AU;AULA 20;lunedì;13h00
255;1h00;4BM;LAB. SISTEMI-AUTOMAZ;lunedì;13h00
256;1h00;4AS;AULA 19;lunedì;13h00
257;1h00;4BS;AULA 17;lunedì;13h00
258;1h00;5IB;AULA 01;lunedì;13h00
259;1h00;5AM;AULA 15;lunedì;13h00
260;1h00;5BM;AULA 08;lunedì;13h00
261;1h00;5AS;LAB. CAD1;lunedì;13h00
262;1h00;5CS;LAB. BIOLOGIA ;lunedì;13h00
263;1h00;5LS;AULA 26;lunedì;13h00
264;1h00;2A;LAB. FISICA;lunedì;13h00
265;1h00;2D;LAB. CHIMICA ;lunedì;13h00
266;1h00;3AT;LAB. AUTOMAZ-IMPIANTI;lunedì;13h00
267;1h00;5AU;AULA 16;lunedì;13h00
268;1h00;2BS;LAB. MECCANICA;lunedì;13h00
269;1h00;4AT;AULA DISEGNO 2;lunedì;13h00
270;1h00;4IC;AULA 14;lunedì;13h00
271;1h00;5DS;AULA 29;lunedì;13h00
272;1h00;3IB;LAB. INF2;lunedì;13h00
273;1h00;2B;PALESTRA1;lunedì;13h00
274;1h00;2B;PALESTRA1;lunedì;13h50
275;1h00;3IA;PALESTRA2;lunedì;13h00
276;1h00;3IA;PALESTRA2;lunedì;13h50
277;1h00;4CS;AULA 28;lunedì;13h00
278;1h00;4IA;AULA 18;lunedì;13h00
279;1h00;1C;AULA 04;lunedì;13h50
280;1h00;2C;AULA 07;lunedì;13h50
281;1h00;2E;AULA 09;lunedì;13h50
282;1h00;4AU;AULA 20;lunedì;13h50
283;1h00;4BM;LAB. SISTEMI-AUTOMAZ;lunedì;13h50
284;1h00;1B;LAB. FISICA;lunedì;13h50
285;1h00;2F;LAB. CHIMICA ;lunedì;13h50
286;1h00;3AT, 3IB;AULA 29;lunedì;13h50
287;1h00;5AU;AULA 16;lunedì;13h50
288;1h00;4IC;AULA 14;lunedì;13h50
289;1h00;1E;AULA 11;martedì;08h00
290;1h00;1A;AULA 02;martedì;08h00
291;1h00;1D;AULA 10A;martedì;08h00
292;1h00;1AS;AULA 31;martedì;08h00
293;1h00;1AS;AULA 31;martedì;08h55
294;1h00;1LS;LAB. MECCANICA;martedì;08h00
295;1h00;2AS;AULA 24;martedì;08h00
296;1h00;2A;AULA 05;martedì;08h00
297;1h00;2B;AULA 06;martedì;08h00
298;1h00;2D;AULA 08;martedì;08h00
299;1h00;2E;AULA 09;martedì;08h00
300;1h00;2F;AULA 09A;martedì;08h00
301;1h00;2LS;AULA 30;martedì;08h00
302;1h00;2LS;AULA 30;martedì;08h55
303;1h00;3IA;AULA 03;martedì;08h00
304;1h00;3IA;AULA 03;martedì;08h55
305;1h00;3AU;AULA 12;martedì;08h00
306;1h00;3AU;AULA 12;martedì;08h55
307;1h00;3AM;AULA 23;martedì;08h00
308;1h00;3AM;AULA 23;martedì;08h55
309;1h00;3AS;LAB. BIOLOGIA ;martedì;08h00
310;1h00;3AS;LAB. BIOLOGIA ;martedì;08h55
311;1h00;4IA;AULA 18;martedì;08h00
312;1h00;4AM;AULA 14;martedì;08h00
313;1h00;4AM;AULA 14;martedì;08h55
314;1h00;4BM;AULA 16;martedì;08h00
315;1h00;4AS;AULA 19;martedì;08h00
316;1h00;4BS;AULA 17;martedì;08h00
317;1h00;4CS;AULA 28;martedì;08h00
318;1h00;4LS;AULA 22;martedì;08h00
319;1h00;5IA;AULA 25;martedì;08h00
320;1h00;5IA;AULA 25;martedì;08h55
321;1h00;5AM;AULA 15;martedì;08h00
322;1h00;5AM;AULA 15;martedì;08h55
323;1h00;5AS;AULA 21;martedì;08h00
324;1h00;5BS;AULA 27;martedì;08h00
325;1h00;5BS;AULA 27;martedì;08h55
326;1h00;5CS;LAB. FISICA;martedì;08h00
327;1h00;5LS;AULA 26;martedì;08h00
328;1h00;5BM;LAB. TECNOLOGIA;martedì;08h00
329;1h00;5BM;LAB. TECNOLOGIA;martedì;08h55
330;1h00;1C;LAB. CHIMICA ;martedì;08h00
331;1h00;3AT, 3IB;AULA 13;martedì;08h00
332;1h00;4AU;AULA 20;martedì;08h00
333;1h00;5AU;LAB. ROBOTICA;martedì;08h00
334;1h00;2BS;BIBLIOTECA;martedì;08h00
335;1h00;5DS;AULA 29;martedì;08h00
336;1h00;4IC;LAB. INF2;martedì;08h00
337;1h00;4IC;LAB. INF2;martedì;08h55
338;1h00;4IB;LAB. INF1;martedì;08h00
339;1h00;4IB;LAB. INF1;martedì;08h55
340;1h00;5IB;LAB. ELETTRONICA2;martedì;08h00
341;1h00;5IB;LAB. ELETTRONICA2;martedì;08h55
342;1h00;4AT;LAB. AUTOMAZ-IMPIANTI;martedì;08h00
343;1h00;4AT;LAB. AUTOMAZ-IMPIANTI;martedì;08h55
344;1h00;3BM;LAB. SISTEMI-AUTOMAZ;martedì;08h00
345;1h00;3BM;LAB. SISTEMI-AUTOMAZ;martedì;08h55
346;1h00;1B;PAL COM1;martedì;08h00
347;1h00;1B;PAL COM1;martedì;08h55
348;1h00;2C;PAL.COM2;martedì;08h00
349;1h00;2C;PAL.COM2;martedì;08h55
350;1h00;3BS;PALESTRA1;martedì;08h00
351;1h00;3BS;PALESTRA1;martedì;08h55
352;1h00;3LS;PALESTRA2;martedì;08h00
353;1h00;3LS;PALESTRA2;martedì;08h55
354;1h00;1A;AULA 02;martedì;08h55
355;1h00;1D;AULA 10A;martedì;08h55
356;1h00;1E;AULA 11;martedì;08h55
357;1h00;1E;AULA 11;martedì;10h00
358;1h00;1C;AULA 04;martedì;08h55
359;1h00;1LS;LAB. MECCANICA;martedì;08h55
360;1h00;2AS;AULA 24;martedì;08h55
361;1h00;2BS;BIBLIOTECA;martedì;08h55
362;1h00;2A;AULA 05;martedì;08h55
363;1h00;2B;AULA 06;martedì;08h55
364;1h00;2D;AULA 08;martedì;08h55
365;1h00;2F;AULA 09A;martedì;08h55
366;1h00;4AU;AULA 20;martedì;08h55
367;1h00;4BM;AULA 16;martedì;08h55
368;1h00;4AS;AULA 19;martedì;08h55
369;1h00;4BS;AULA 17;martedì;08h55
370;1h00;4CS;AULA 28;martedì;08h55
371;1h00;4LS;AULA 22;martedì;08h55
372;1h00;5AS;AULA 21;martedì;08h55
373;1h00;5AS;AULA 21;martedì;10h00
374;1h00;5CS;AULA 18;martedì;08h55
375;1h00;5LS;AULA 26;martedì;08h55
376;1h00;2E;LAB. CHIMICA ;martedì;08h55
377;1h00;5DS;AULA 29;martedì;08h55
378;1h00;4IA;LAB. ELETTR-MISURE;martedì;08h55
379;1h00;4IA;LAB. ELETTR-MISURE;martedì;10h00
380;1h00;3AT, 3IB;AULA 13;martedì;08h55
381;1h00;5AU;LAB. ROBOTICA;martedì;08h55
382;1h00;1C;AULA 04;martedì;10h00
383;1h00;1B;AULA 03;martedì;10h00
384;1h00;3AU;AULA 12;martedì;10h00
385;1h00;2AS;AULA 24;martedì;10h00
386;1h00;2BS;BIBLIOTECA;martedì;10h00
387;1h00;2A;AULA 05;martedì;10h00
388;1h00;2B;AULA 06;martedì;10h00
389;1h00;2C;AULA 07;martedì;10h00
390;1h00;2D;AULA 08;martedì;10h00
391;1h00;2E;AULA 09;martedì;10h00
392;1h00;2LS;AULA 30;martedì;10h00
393;1h00;1LS;LAB. MECCANICA;martedì;10h00
394;1h00;3BM;AULA 09A;martedì;10h00
395;1h00;3AS;AULA 13;martedì;10h00
396;1h00;3BS;AULA 25;martedì;10h00
397;1h00;3LS;AULA 23;martedì;10h00
398;1h00;4IB;AULA DISEGNO 1;martedì;10h00
399;1h00;4AU;AULA DISEGNO 2;martedì;10h00
400;1h00;4AS;AULA 19;martedì;10h00
401;1h00;4CS;AULA 28;martedì;10h00
402;1h00;4LS;AULA 22;martedì;10h00
403;1h00;5IB;LAB. CHIMICA ;martedì;10h00
404;1h00;5IB;LAB. CHIMICA ;martedì;10h55
405;1h00;5BM;AULA 17;martedì;10h00
406;1h00;5BS;AULA 27;martedì;10h00
407;1h00;5CS;AULA 20;martedì;10h00
408;1h00;5LS;AULA 26;martedì;10h00
409;1h00;5LS;AULA 26;martedì;10h55
410;1h00;1A;LAB. INF1;martedì;10h00
411;1h00;3AT;LAB. AUTOMAZ-IMPIANTI;martedì;10h00
412;1h00;5AU;LAB. ROBOTICA;martedì;10h00
413;1h00;1AS;LAB. FISICA;martedì;10h00
414;1h00;4BM;AULA 16;martedì;10h00
415;1h00;4AT;AULA 01;martedì;10h00
416;1h00;4IC;AULA 14;martedì;10h00
417;1h00;5DS;AULA 29;martedì;10h00
418;1h00;3IB;LAB. ELETTRONICA2;martedì;10h00
419;1h00;3IA;LAB. INF2;martedì;10h00
420;1h00;3IA;LAB. INF2;martedì;10h55
421;1h00;3AM;LAB. TECNOLOGIA;martedì;10h00
422;1h00;3AM;LAB. TECNOLOGIA;martedì;10h55
423;1h00;4AM;LAB. SISTEMI-AUTOMAZ;martedì;10h00
424;1h00;4AM;LAB. SISTEMI-AUTOMAZ;martedì;10h55
425;1h00;1D;LAB. CAD2;martedì;10h00
426;1h00;4BS;PAL COM1;martedì;10h00
427;1h00;4BS;PAL COM1;martedì;10h55
428;1h00;5IA;PAL.COM2;martedì;10h00
429;1h00;5IA;PAL.COM2;martedì;10h55
